elapsedTimeNanoSec, speed, direction
2302049999,-0.0,0.0
2310911509,-0.0,0.0
2312446770,-0.0,0.0
2322163749,-0.0,0.0
2322912864,-0.0,0.0
2332648436,-0.0,0.0
2333352343,-0.0,0.0
2343304947,-0.0,0.0
2343984114,-0.0,0.0
2353773853,-0.0,0.0
2354433905,-0.0,0.0
2364498801,-0.0,0.0
2366203905,-0.0,0.0
2375437447,-0.0,0.0
2376885572,-0.0,0.0
2386631197,-0.0,0.0
2387306926,-0.0,0.0
2397156145,-0.0,0.0
2397700832,-0.0,0.0
2407651093,-0.0,0.0
2408367916,-0.0,0.0
2418254947,-0.0,0.0
2418764166,-0.0,0.0
2428844426,-0.0,0.0
2429134999,-0.0,0.0
2439389999,-0.0,0.0
2439709895,-0.0,0.0
2449861666,-0.0,0.0
2450175364,-0.0,0.0
2460477186,-0.0,0.0
2461690936,-0.0,0.0
2470838801,-0.0,0.0
2472436978,-0.0,0.0
2481457082,-0.0,0.0
2482881353,-0.0,0.0
2492121353,-0.0,0.0
2493440728,-0.0,0.0
2503241249,-0.0,0.0
2503829791,-0.0,0.0
2513819791,-0.0,0.0
2514237499,-0.0,0.0
2524414738,-0.0,0.0
2524718905,-0.0,0.0
2534844113,-0.0,0.0
2535196509,-0.0,0.0
2545294270,-0.0,0.0
2574028072,-0.0,0.0
2574354478,-0.0,0.0
2584873436,-0.0,0.0
2585208436,-0.0,0.0
2595232655,-0.0,0.0
2595531353,-0.0,0.0
2606008176,-0.0,0.0
2606626874,-0.0,0.0
2616474478,-0.0,0.0
2617116926,-0.0,0.0
2626873280,-0.0,0.0
2627536301,-0.0,0.0
2637300728,-0.0,0.0
2637945468,-0.0,0.0
2647859582,-0.0,0.0
2648449322,-0.0,0.0
2658658072,-0.0,0.0
2660426353,-0.0,0.0
2669665416,-0.0,0.0
2670944009,-0.0,0.0
2680280468,-0.0,0.0
2681838280,-0.0,0.0
2690862134,-0.0,0.0
2692577291,-0.0,0.0
2701525051,-0.0,0.0
2704756301,-0.0,0.0
2712129218,-0.0,0.0
2715487447,-0.0,0.0
2723055520,-0.0,0.0
2725866249,-0.0,0.0
2734466040,-0.0,0.0
2736822499,-0.0,0.0
2745251093,-0.0,0.0
2747447551,-0.0,0.0
2755937447,-0.0,0.0
2758136197,-0.0,0.0
2766553540,-0.0,0.0
2768673749,-0.0,0.0
2777127499,-0.0,0.0
2779123384,-0.0,0.0
2787639686,-0.0,0.0
2789583593,-0.0,0.0
2798290520,-0.0,0.0
2800016770,-0.0,0.0
2808828905,-0.0,0.0
2810491926,-0.0,0.0
2819380415,-0.0,0.0
2820941301,-0.0,0.0
2829905832,-0.0,0.0
2831376509,-0.0,0.0
2840712134,-0.0,0.0
2841899322,-0.0,0.0
2851212759,-0.0,0.0
2852294165,-0.0,0.0
2861539738,-0.0,0.0
2862848176,-0.0,0.0
2872180832,-0.0,0.0
2873256770,-0.0,0.0
2882903332,-0.0,-0.045264918357133865
2923880780,-0.0,-0.1579057276248932
2966283280,-0.0,-0.23299957811832428
3002077707,-0.0,-0.2371714860200882
3002522759,-0.0,-0.2371714860200882
3012910832,-0.0,-0.2371714860200882
3013393124,-0.0,-0.2371714860200882
3023474270,-0.0,-0.2371714860200882
3023950155,-0.0,-0.2371714860200882
3034008124,-0.0,-0.2371714860200882
3034359790,-0.0,-0.2371714860200882
3044539634,-0.0,-0.24134336411952972
3066593488,-0.0,-0.24134336411952972
3068453384,-0.0,-0.24134336411952972
3077656145,-0.0,-0.24134336411952972
3079225155,-0.0,-0.24134336411952972
3088316145,-0.0,-0.24134336411952972
3089787342,-0.0,-0.24134336411952972
3099147238,-0.0,-0.24134336411952972
3100338488,-0.0,-0.24134336411952972
3110017186,-0.0,-0.24134336411952972
3110853488,-0.0,-0.24134336411952972
3120441822,-0.0,-0.24134336411952972
3121326613,-0.0,-0.24134336411952972
3131038749,-0.0,-0.24134336411952972
3131803592,-0.0,-0.24134336411952972
3141447395,-0.0,-0.24134336411952972
3142308853,-0.0,-0.24134336411952972
3151890519,-0.0,-0.24134336411952972
3152780103,-0.0,-0.24134336411952972
3162385363,-0.0,-0.24134336411952972
3163346561,-0.0,-0.24134336411952972
3172862759,-0.0,-0.24134336411952972
3173860936,-0.0,-0.24134336411952972
3183287759,-0.0,-0.24134336411952972
3184297238,-0.0,-0.24134336411952972
3193768592,-0.0,-0.24134336411952972
3194775832,-0.0,-0.24134336411952972
3204201144,-0.0,-0.24551524221897125
3205230155,-0.0,-0.24551524221897125
3214652915,-0.0,-0.24551524221897125
3215807394,-0.0,-0.24551524221897125
3225114217,-0.0,-0.24551524221897125
3226342707,-0.0,-0.24551524221897125
3235539061,-0.0,-0.24551524221897125
